"Test Case ID","Use Case","Tested Code Segment","Test Description","Input Values","Expected Behavior","Actual Behavior",Result,Duration
TC-011,"User Registration & Profiles",Model,"User::getRoleTitleAttribute should format supplier name and category","$supplier = new Supplier([""name"" => ""Steel Corp"", ""category"" => ""Structural""])","""Steel Corp (Structural)"" (string)","Steel Corp (Structural)",Pass,"1 ms"
TC-012,"User Registration & Profiles",Model,"User::getRoleTitleAttribute should fallback to generic Supplier Account if relation is null","$user->role = ""supplier"", relation ""supplier"" = null","""Supplier Account"" (string)","Supplier Account",Pass,"6 ms"
TC-013,"User Registration & Profiles",Model,"User::getRoleTitleAttribute should return Roofing Transfer Officer title","$user->role = ""roofing_transfer""","""Roofing Transfer Officer"" (string)","Roofing Transfer Officer",Pass,"1 ms"
TC-014,"User Registration & Profiles",Model,"User::getRoleTitleAttribute should return Windows & Doors Transfer Officer title","$user->role = ""windows_doors_transfer""","""Windows & Doors Transfer Officer"" (string)","Windows & Doors Transfer Officer",Pass,"1 ms"
TC-015,"User Registration & Profiles",Model,"User::getRoleTitleAttribute should return Master Administrator for admin role","$user->role = ""admin""","""Master Administrator"" (string)","Master Administrator",Pass,"1 ms"
TC-016,"Geolocation & Routing",Service,"User::getPortalRouteAttribute should resolve route for supplier dashboard","$user->role = ""supplier""","URL matching /supplier/dashboard",http://localhost:8000/supplier/dashboard,Pass,"5 ms"
TC-017,"Geolocation & Routing",Service,"User::getPortalRouteAttribute should resolve route for roofing transfer portal","$user->role = ""roofing_transfer""","URL matching /roofing-transfer",http://localhost:8000/roofing-transfer,Pass,"1 ms"
TC-018,"Geolocation & Routing",Service,"User::getPortalRouteAttribute should resolve route for windows & doors portal","$user->role = ""windows_doors_transfer""","URL matching /windows-doors-transfer",http://localhost:8000/windows-doors-transfer,Pass,"1 ms"
TC-019,"Geolocation & Routing",Service,"User::getPortalRouteAttribute should fallback to system dashboard url","$user->role = ""admin""","URL matching url(""/"")",http://localhost:8000,Pass,"1 ms"
TC-020,"Asset & Provider Management",Model,"Supplier::isActive() should evaluate active status to true","$supplier->status = ""active""","true (bool)","Evaluated true; condition verified",Pass,"1 ms"
TC-021,"Asset & Provider Management",Model,"Supplier::isActive() should evaluate inactive status to false","$supplier->status = ""inactive""","false (bool)","Evaluated false; condition verified",Pass,"1 ms"
TC-022,"Asset & Provider Management",Model,"Supplier::getCategoryColorAttribute should return hex color for Windows & Doors","$supplier->category = ""Windows & Doors""","""#38bdf8"" (string)",#38bdf8,Pass,"1 ms"
TC-023,"Asset & Provider Management",Model,"Supplier::getCategoryColorAttribute should return hex color for Roofing","$supplier->category = ""Roofing""","""#ef4444"" (string)",#ef4444,Pass,"1 ms"
TC-024,"Asset & Provider Management",Model,"Supplier::getCategoryColorAttribute should return hex color for Structural & Masonry","$supplier->category = ""Structural & Masonry""","""#10b981"" (string)",#10b981,Pass,"1 ms"
TC-025,"Form Data Validation",Component,"TaskStoreRequest rules() should reject start_date before project_start","[""project_start"" => ""2026-05-01"", ""start_date"" => ""2026-04-15""]","Validator fails with key ""start_date""","Validation Error (Inverted Date Blocked)",Pass,"30 ms"
TC-026,"Asset & Provider Management",Model,"SupplierMaterial::getStatusBadgeAttribute should return Unavailable when inactive","$material->is_active = false, $material->availability_status = ""available""","label = ""Unavailable""",Unavailable,Pass,"1 ms"
TC-027,"Asset & Provider Management",Model,"SupplierMaterial::getStatusBadgeAttribute should return Unavailable when unavailable","$material->is_active = true, $material->availability_status = ""unavailable""","label = ""Unavailable""",Unavailable,Pass,"1 ms"
TC-028,"Asset & Provider Management",Model,"SupplierMaterial::getStatusBadgeAttribute should return Available when active and in stock","$material->is_active = true, $material->availability_status = ""available""","label = ""Available""",Available,Pass,"1 ms"
TC-029,"Booking & Task Management",Model,"SupplierOrder::getStatusBadgeAttribute should format Pending Approval badge","$order->status = ""pending""","label = ""Pending Approval""","Pending Approval",Pass,"1 ms"
TC-030,"Booking & Task Management",Model,"SupplierOrder::getStatusBadgeAttribute should format Confirmed badge","$order->status = ""confirmed""","label = ""Confirmed""",Confirmed,Pass,"1 ms"
TC-031,"Booking & Task Management",Model,"SupplierOrder::getStatusBadgeAttribute should format Processing badge","$order->status = ""processing""","label = ""Processing""",Processing,Pass,"1 ms"
TC-032,"Booking & Task Management",Model,"SupplierOrder::getStatusBadgeAttribute should format Ready for Delivery badge","$order->status = ""ready_for_delivery""","label = ""Ready for Delivery""","Ready for Delivery",Pass,"1 ms"
TC-033,"Booking & Task Management",Model,"SupplierOrder::getStatusBadgeAttribute should format Delivered badge","$order->status = ""delivered""","label = ""Delivered""",Delivered,Pass,"1 ms"
TC-034,"Booking & Task Management",Model,"SupplierOrder::getStatusBadgeAttribute should format Completed badge","$order->status = ""completed""","label = ""Completed""",Completed,Pass,"1 ms"
TC-035,"Booking & Task Management",Model,"SupplierOrder::getStatusBadgeAttribute should format Cancelled badge","$order->status = ""cancelled""","label = ""Cancelled""",Cancelled,Pass,"1 ms"
TC-036,"Inventory & Materials Control",Model,"SupplierOrder::syncToInventory() should block duplicate execution when already synced","$order->is_synced_to_inventory = true","false (bool)","Evaluated false; condition verified",Pass,"1 ms"
TC-037,"Inventory & Materials Control",Service,"SupplierOrder::syncToInventory() should credit stock and mark synced on delivery","$order->status = ""delivered"", items = [50 units]","true (bool); stock incremented & is_synced_to_inventory = 1","true (Stock credited & flagged synced)",Pass,"1 ms"
TC-038,"Inventory & Materials Control",Model,"InventoryLog::getTransactionBadgeAttribute should format Excess Material Returned badge","$log->transaction_type = ""excess_return""","label = ""Excess Material Returned""","Excess Material Returned",Pass,"1 ms"
TC-039,"Inventory & Materials Control",Model,"InventoryLog::getTransactionBadgeAttribute should format Site BOM Allocation badge","$log->transaction_type = ""allocation""","label = ""Site BOM Allocation""","Site BOM Allocation",Pass,"1 ms"
TC-040,"Inventory & Materials Control",Model,"InventoryLog::getTransactionBadgeAttribute should format Site Consumption Recorded badge","$log->transaction_type = ""usage""","label = ""Site Consumption Recorded""","Site Consumption Recorded",Pass,"1 ms"
TC-041,"Inventory & Materials Control",Model,"InventoryLog::getTransactionBadgeAttribute should format Warehouse Restock badge","$log->transaction_type = ""restock""","label = ""Warehouse Restock / PO""","Warehouse Restock / PO",Pass,"1 ms"
TC-042,"Inventory & Materials Control",Model,"InventoryLog::getTransactionBadgeAttribute should format Inventory Adjustment badge","$log->transaction_type = ""adjustment""","label = ""Inventory Adjustment""","Inventory Adjustment",Pass,"1 ms"
TC-043,"Billing & Pricing Engine",Model,"Payment::getReceiptUrlAttribute should return null when receipt_file is empty","$payment->receipt_file = null",null,null,Pass,"1 ms"
TC-044,"Form Data Validation",Component,"PaymentReceiptUploadRequest rules() should accept valid mobile JFIF image format","Uploaded file with MIME ""image/jpeg"" / extension ""jfif""","Validator passes without errors","Validation Succeeded (.jfif MIME whitelisted)",Pass,"1 ms"
TC-045,"Billing & Pricing Engine",Model,"Payment::getReceiptUrlAttribute should preserve absolute file paths","$payment->receipt_file = ""/uploads/doc.pdf""","""/uploads/doc.pdf"" (string)",/uploads/doc.pdf,Pass,"1 ms"
TC-046,"Billing & Pricing Engine",Model,"Payment::getReceiptUrlAttribute should prepend standard receipt uploads path","$payment->receipt_file = ""slip.jpg""","""/uploads/receipts/slip.jpg"" (string)",/uploads/receipts/slip.jpg,Pass,"1 ms"
TC-047,"Billing & Pricing Engine",Model,"Payment::getEffectiveOrNumberAttribute should return official receipt number when present","$payment->official_receipt_no = ""OR-999""","""OR-999"" (string)",OR-999,Pass,"1 ms"
TC-048,"Billing & Pricing Engine",Model,"Payment::getEffectiveOrNumberAttribute should generate structured auto OR number","$payment->official_receipt_no = null, payment_date = ""2026-09-01"", id = 5","""OR-202609-0005"" (string)",OR-202609-0005,Pass,"1 ms"
TC-049,"Billing & Pricing Engine",Model,"Payment::getFinancingTypeLabelAttribute should return Bank Construction Loan label","$payment->financing_type = ""bank_loan""","""Bank Construction Loan"" (string)","Bank Construction Loan",Pass,"1 ms"
TC-050,"Billing & Pricing Engine",Model,"Payment::getFinancingTypeLabelAttribute should return Pag-IBIG (HDMF) Loan label","$payment->financing_type = ""pagibig_loan""","""Pag-IBIG (HDMF) Loan"" (string)","Pag-IBIG (HDMF) Loan",Pass,"1 ms"
TC-051,"Billing & Pricing Engine",Model,"Payment::getFinancingTypeLabelAttribute should return Client Direct Equity label","$payment->financing_type = ""client_equity""","""Client Direct Equity"" (string)","Client Direct Equity",Pass,"1 ms"
TC-052,"Billing & Pricing Engine",Model,"Payment::getFinancingTypeLabelAttribute should return Direct Progress Cash label","$payment->financing_type = ""cash_progress""","""Direct Progress Cash"" (string)","Direct Progress Cash",Pass,"1 ms"
TC-053,"Billing & Pricing Engine",Model,"Payment::getConstructionClearanceBadgeAttribute should authorize construction for paid status","$payment->status = ""paid""","cleared: true, color: ""#10b981""","{""label"":""Payment Cleared &bull; Authorized to Construct"",""color"":""#10b981"",""bg"":""rgba(16, 185, 129, 0.12)"",""border"":""rgba(16, 185, 129, 0.3)"",""icon"":"""",""cleared"":true}",Pass,"1 ms"
TC-054,"Billing & Pricing Engine",Model,"Payment::getConstructionClearanceBadgeAttribute should flag Inspection Scheduled","$payment->status = ""pending"", $payment->construction_clearance_status = ""inspection_scheduled""","cleared: false, color: ""#38bdf8""","{""label"":""Bank\/Pag-IBIG Inspection Scheduled"",""color"":""#38bdf8"",""bg"":""rgba(56, 189, 248, 0.12)"",""border"":""rgba(56, 189, 248, 0.3)"",""icon"":"""",""cleared"":false}",Pass,"1 ms"
TC-055,"Personnel & License Compliance",Model,"Personnel::isLicenseExpired() should evaluate expired status flag to true","$personnel->license_status = ""expired""","true (bool)","Evaluated true; condition verified",Pass,"2 ms"
TC-056,"Personnel & License Compliance",Model,"Personnel::isLicenseExpired() should evaluate past expiry date to true (expired)","$personnel->license_expiry_date = ""2024-01-01"", license_status = ""active""","true (bool)","Evaluated true; condition verified",Pass,"1 ms"
TC-057,"Personnel & License Compliance",Model,"Personnel::isLicenseExpired() should evaluate future expiry date to false (active)","$personnel->license_expiry_date = ""2028-12-31"", license_status = ""active""","false (bool)","Evaluated false; condition verified",Pass,"1 ms"
TC-058,"Personnel & License Compliance",Model,"Personnel::getLicenseStatusBadgeAttribute should return EXPIRED LICENSE badge","$personnel->license_status = ""expired""","label = ""EXPIRED LICENSE""","EXPIRED LICENSE",Pass,"1 ms"
TC-059,"Personnel & License Compliance",Model,"Personnel::getLicenseStatusBadgeAttribute should return ACTIVE badge for valid license","$personnel->license_status = ""active"", expiry = ""2029-01-01""","label = ""ACTIVE""",ACTIVE,Pass,"1 ms"
TC-060,"Billing & Pricing Engine",Model,"ProjectCost::getVarianceAttribute should calculate variance (estimated - actual)","$cost->estimated_cost = 100000, $cost->actual_cost = 80000","20000.00 (float)",20000,Pass,"1 ms"
TC-061,"Billing & Pricing Engine",Model,"ProjectCost::getVariancePercentAttribute should return 0 for zero estimated cost guard","$cost->estimated_cost = 0, $cost->actual_cost = 5000","0 (float)",0,Pass,"1 ms"
TC-062,"Form Data Validation",Component,"InventoryController::allocate() should reject fractional quantity for discrete units (pcs/sets)","$unit = ""pcs"", $quantity = 15.75","Validation error on quantity: must be integer","Validation Error (Fractional Integer Rejected)",Pass,"1 ms"
TC-063,"Site Materials & Excess Tracking",Model,"ProjectMaterial::getRemainingQtyAttribute should compute remaining unconsumed site quantity","$pm->allocated_qty = 100, $pm->used_qty = 60, $pm->excess_returned_qty = 20","20 (int)",20,Pass,"1 ms"
TC-064,"Site Materials & Excess Tracking",Model,"ProjectMaterial::getNetAllocatedQtyAttribute should subtract excess returned quantity","$pm->allocated_qty = 100, $pm->excess_returned_qty = 20","80 (int)",80,Pass,"1 ms"
TC-065,"Site Materials & Excess Tracking",Model,"ProjectMaterial::getReturnedExcessValueAttribute should evaluate excess financial valuation","$pm->excess_returned_qty = 15, $pm->unit_price = 200.00","3000.00 (float)",3000,Pass,"1 ms"
TC-066,"Scope & DUPA Breakdown",Model,"ProjectScopeItem::recalculate() should rollup DUPA direct cost, contingency, tax, and profit","direct_cost = 10000, contingency_rate = 5, vat_rate = 12, profit_rate = 10","12700.00 (float)",12700,Pass,"1 ms"
TC-067,"Scope & DUPA Breakdown",Model,"ProjectScopeLine::getRemainingQuantityAttribute should clamp negative quantities to zero","$line->quantity = 50, $line->used_quantity = 40, $line->excess_returned_quantity = 20","0 (float)",0,Pass,"1 ms"
TC-068,"Booking & Task Management",Model,"ProjectTask::getIsCompletedAttribute should return true when progress reaches 100%","$task->progress = 100","true (bool)","Evaluated true; condition verified",Pass,"1 ms"
TC-069,"Booking & Task Management",Model,"ProjectTask::getStatusBadgeClassAttribute should return in_progress CSS class for active task","$task->progress = 30","""in_progress"" (string)",in_progress,Pass,"1 ms"
TC-070,"Booking & Task Management",Model,"ProjectTask::getTimelinePhaseKeyAttribute should normalize phase name to identifier key","$task->timeline_phase = ""Phase 2: Superstructure""","Contains ""phase2"" or ""phase-2""",phase2,Pass,"1 ms"
TC-071,"Booking & Task Management",Model,"ProjectTaskMaterial boot saving hook should automatically compute total_cost","$model->quantity_required = 5, $model->unit_cost = 400.00","2000.00 (float)",2000,Pass,"1 ms"
TC-072,"Core System Calculations",Model,"Project::getStructuralWeightAttribute should fallback to default 40% trade weight","$project->structural_weight = 0","40 (int)",40,Pass,"3 ms"
TC-073,"Core System Calculations",Service,"Project::recalculateTradeProgressFromTasks() should compute weighted overall trade progress","Structural = 100%, Electrical = 80%, Piping = 50%, Finishing = 30%","74.5% (float)",74.5%,Pass,"1 ms"
TC-074,"Core System Calculations",Model,"Project::getRemainingBudgetAttribute should calculate remaining budget (contract - spent)","$project->contract_budget = 500000, $project->spent_budget = 200000","300000 (float/int)",300000,Pass,"1 ms"
TC-075,"Core System Calculations",Model,"Project::getBudgetUsagePercentAttribute should calculate budget consumption ratio","$project->contract_budget = 500000, $project->spent_budget = 200000","40.0 (float)",40%,Pass,"1 ms"
TC-076,"Core System Calculations",Model,"Project::getTotalDeployedManpowerAttribute should aggregate workforce across all trade categories","workers = 10, skilled = 5, engineers = 2, foremen = 3","20 (int)",20,Pass,"1 ms"
TC-077,"Core System Calculations",Model,"Project::getCostHealthStatusAttribute should flag overrun when spent budget exceeds contract","$project->contract_budget = 100000, $project->spent_budget = 120000","""overrun"" (string)",overrun,Pass,"5 ms"
TC-078,"Core System Calculations",Model,"Project::getScheduleHealthStatusAttribute should return completed state dictionary upon finish","$project->status = ""completed""","status = ""completed""",completed,Pass,"1 ms"
TC-079,"Form Data Validation",Service,"ProjectMaterialTransferController store() should reject transfer quantity <= 0","[""quantity_transferred"" => 0.00]","Validator fails with error ""The quantity transferred must be greater than 0.""","Validation Error (Zero Quantity Rejected)",Pass,"8 ms"
TC-080,"Core System Calculations",Model,"ServiceRequest should compute estimated project contract value (floor area * cost per sqm)","$sr->floor_area = 250, $sr->cost_per_sqm = 25000","6250000.00 (float)","PHP 6,250,000.00",Pass,"1 ms"
